Series Name,Ohio State University - Relative Humidity (%),Ohio State University - NOAA Average Daily Temperature (°F),Ohio State University - Atmospheric Pressure (mb)
2017-01-01T00:00:00,75.80636201,37.06451613,986.220936
2017-02-01T00:00:00,67.32385913,42,985.7170559
2017-03-01T00:00:00,63.35076165,43.4516129,991.0557421
2017-04-01T00:00:00,62.19078704,59.7,985.5321052
2017-05-01T00:00:00,68.43418779,62.86666667,981.8621425
2017-06-01T00:00:00,65.88402778,72.50678241,984.8809857
2017-07-01T00:00:00,76.61884281,74.83870968,986.6443159
2017-08-01T00:00:00,73.72930428,72.06451613,987.5664101
2017-09-01T00:00:00,73.36770833,67.43333333,984.2036373
2017-10-01T00:00:00,74.28886649,58.70967742,988.5402635
2017-11-01T00:00:00,71.48371693,43.53333333,989.8705488
2017-12-01T00:00:00,71.54518369,31.22580645,989.6499203
2018-01-01T00:00:00,74.16577061,27.19354839,993.868478
2018-02-01T00:00:00,75.99955357,39.17857143,992.0946292
2018-03-01T00:00:00,65.1452509,38.22580645,987.29704
2018-04-01T00:00:00,62.15092593,47.63333333,986.6614895
2018-05-01T00:00:00,64.27912186,71.29032258,985.993265
2018-06-01T00:00:00,71.47530093,74.4,984.6199515
2018-07-01T00:00:00,67.39164427,75.64516129,971.2649914
2018-08-01T00:00:00,74.06467294,75.16129032,987.547833
2018-09-01T00:00:00,76.71782407,71.16666667,989.6257949
2018-10-01T00:00:00,72.08494624,56.51612903,988.4655035
2018-11-01T00:00:00,74.89016204,39.26666667,988.6234864
2018-12-01T00:00:00,75.4811828,37.19354839,988.6929848
2019-01-01T00:00:00,72.60647401,29.22580645,989.5938674
2019-02-01T00:00:00,74.00949901,34.35714286,989.7099042
2019-03-01T00:00:00,64.9968862,38.16129032,990.5772705
2019-04-01T00:00:00,63.17976852,54.56666667,984.8331373
2019-05-01T00:00:00,71.14628136,65.32258065,984.8037731
2019-06-01T00:00:00,67.14881944,70.8,984.8028009
2019-07-01T00:00:00,67.92403674,77.25,986.6797447
2019-08-01T00:00:00,66.16301523,73,986.0568281
2019-09-01T00:00:00,63.50013889,71.60606061,988.8605415
2019-10-01T00:00:00,66.18996416,57.58,987.146769
2019-11-01T00:00:00,67.72476852,36.0625,989.4429769
2019-12-01T00:00:00,74.40636201,36.64285714,987.8738868
2020-01-01T00:00:00,71.73698477,35.81547619,990.3675784
2020-02-01T00:00:00,70.68199234,33.97727273,987.8190617
2020-03-01T00:00:00,68.86861559,46.38333333,989.1276245
2020-04-01T00:00:00,62.70115741,49.4,983.2838251
2020-05-01T00:00:00,65.82831541,53.61111111,987.002673
2020-06-01T00:00:00,62.81689815,72.70833333,986.3870195
2020-07-01T00:00:00,65.09106183,78.03225806,985.720245
2020-08-01T00:00:00,72.17526882,73.44444444,985.8176741
2020-09-01T00:00:00,72.8802414,65.96551724,988.828074
2020-10-01T00:00:00,75.86198477,53,989.0250997
2020-11-01T00:00:00,65.37125,46.89130435,991.2731555
2020-12-01T00:00:00,76.02450717,34.94117647,987.9441028
2021-01-01T00:00:00,76.54413082,30.79166667,987.7746392
2021-02-01T00:00:00,73.14636657,26.76785714,989.6036632
2021-03-01T00:00:00,56.60112007,44.21153846,991.0682363
2021-04-01T00:00:00,60.40351852,52.27777778,985.2309988
2021-05-01T00:00:00,63.90262097,60.74,990.1830263
2021-06-01T00:00:00,67.87630952,73.11666667,986.313389
2021-07-01T00:00:00,71.36385529,74.15591398,987.1984047
2021-08-01T00:00:00,73.89451165,75.03225806,987.8139574
2021-09-01T00:00:00,69.72872685,67.72222222,986.7482108
2021-10-01T00:00:00,76.88133587,61,985.1952355
2021-11-01T00:00:00,67.34847222,41.28333333,990.5749323
2021-12-01T00:00:00,73.64328117,41.69444444,986.5195587
2022-01-01T00:00:00,70.29974238,25.48275862,989.7963832
2022-02-01T00:00:00,69.87196712,32.73809524,991.460454
2022-03-01T00:00:00,59.89339158,44.5,986.0147486
2022-04-01T00:00:00,65.24226852,50.66,986.7302598
2022-05-01T00:00:00,70.78051075,65.08602151,985.6508331
2022-06-01T00:00:00,65.07462963,72.88333333,986.348272
2022-07-01T00:00:00,70.740665,75.65517241,985.9038792
2022-08-01T00:00:00,75.97202061,73.52272727,987.3065225
2022-09-01T00:00:00,74.576875,65.20987654,988.040808
2022-10-01T00:00:00,62.52987259,55,990.6293105
